run_id,method_id,instance_id,scenario_id,seed,tier,manifest
R201__S1_balanced__A1_NoSeed__seed11,A1_NoSeed,R201,S1_balanced,11,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed12,A1_NoSeed,R201,S1_balanced,12,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed13,A1_NoSeed,R201,S1_balanced,13,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed14,A1_NoSeed,R201,S1_balanced,14,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed15,A1_NoSeed,R201,S1_balanced,15,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed16,A1_NoSeed,R201,S1_balanced,16,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed17,A1_NoSeed,R201,S1_balanced,17,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed18,A1_NoSeed,R201,S1_balanced,18,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed19,A1_NoSeed,R201,S1_balanced,19,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed20,A1_NoSeed,R201,S1_balanced,20,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed01,A1_NoSeed,R201,S2_peak_dirty,1,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed02,A1_NoSeed,R201,S2_peak_dirty,2,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed03,A1_NoSeed,R201,S2_peak_dirty,3,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed04,A1_NoSeed,R201,S2_peak_dirty,4,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed05,A1_NoSeed,R201,S2_peak_dirty,5,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed06,A1_NoSeed,R201,S2_peak_dirty,6,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed07,A1_NoSeed,R201,S2_peak_dirty,7,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed08,A1_NoSeed,R201,S2_peak_dirty,8,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed09,A1_NoSeed,R201,S2_peak_dirty,9,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed10,A1_NoSeed,R201,S2_peak_dirty,10,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed11,A1_NoSeed,R201,S2_peak_dirty,11,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed12,A1_NoSeed,R201,S2_peak_dirty,12,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed13,A1_NoSeed,R201,S2_peak_dirty,13,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed14,A1_NoSeed,R201,S2_peak_dirty,14,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed15,A1_NoSeed,R201,S2_peak_dirty,15,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed16,A1_NoSeed,R201,S2_peak_dirty,16,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed17,A1_NoSeed,R201,S2_peak_dirty,17,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed18,A1_NoSeed,R201,S2_peak_dirty,18,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed19,A1_NoSeed,R201,S2_peak_dirty,19,small,configs\batches\manifest_A1_NoSeed.csv
R201__S2_peak_dirty__A1_NoSeed__seed20,A1_NoSeed,R201,S2_peak_dirty,20,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed01,A1_NoSeed,R201,S3_mixed_fleet_arc,1,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed02,A1_NoSeed,R201,S3_mixed_fleet_arc,2,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed03,A1_NoSeed,R201,S3_mixed_fleet_arc,3,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed04,A1_NoSeed,R201,S3_mixed_fleet_arc,4,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed05,A1_NoSeed,R201,S3_mixed_fleet_arc,5,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed06,A1_NoSeed,R201,S3_mixed_fleet_arc,6,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed07,A1_NoSeed,R201,S3_mixed_fleet_arc,7,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed08,A1_NoSeed,R201,S3_mixed_fleet_arc,8,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed09,A1_NoSeed,R201,S3_mixed_fleet_arc,9,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed10,A1_NoSeed,R201,S3_mixed_fleet_arc,10,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed11,A1_NoSeed,R201,S3_mixed_fleet_arc,11,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed12,A1_NoSeed,R201,S3_mixed_fleet_arc,12,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed13,A1_NoSeed,R201,S3_mixed_fleet_arc,13,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed14,A1_NoSeed,R201,S3_mixed_fleet_arc,14,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed15,A1_NoSeed,R201,S3_mixed_fleet_arc,15,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed16,A1_NoSeed,R201,S3_mixed_fleet_arc,16,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed17,A1_NoSeed,R201,S3_mixed_fleet_arc,17,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed18,A1_NoSeed,R201,S3_mixed_fleet_arc,18,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed19,A1_NoSeed,R201,S3_mixed_fleet_arc,19,small,configs\batches\manifest_A1_NoSeed.csv
R201__S3_mixed_fleet_arc__A1_NoSeed__seed20,A1_NoSeed,R201,S3_mixed_fleet_arc,20,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed01,A1_NoSeed,RC201,S1_balanced,1,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed02,A1_NoSeed,RC201,S1_balanced,2,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed03,A1_NoSeed,RC201,S1_balanced,3,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed04,A1_NoSeed,RC201,S1_balanced,4,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed05,A1_NoSeed,RC201,S1_balanced,5,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed06,A1_NoSeed,RC201,S1_balanced,6,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed07,A1_NoSeed,RC201,S1_balanced,7,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed08,A1_NoSeed,RC201,S1_balanced,8,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed09,A1_NoSeed,RC201,S1_balanced,9,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed10,A1_NoSeed,RC201,S1_balanced,10,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed11,A1_NoSeed,RC201,S1_balanced,11,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed12,A1_NoSeed,RC201,S1_balanced,12,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed13,A1_NoSeed,RC201,S1_balanced,13,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed14,A1_NoSeed,RC201,S1_balanced,14,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed15,A1_NoSeed,RC201,S1_balanced,15,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed16,A1_NoSeed,RC201,S1_balanced,16,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed17,A1_NoSeed,RC201,S1_balanced,17,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed18,A1_NoSeed,RC201,S1_balanced,18,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed19,A1_NoSeed,RC201,S1_balanced,19,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S1_balanced__A1_NoSeed__seed20,A1_NoSeed,RC201,S1_balanced,20,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed01,A1_NoSeed,RC201,S2_peak_dirty,1,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed02,A1_NoSeed,RC201,S2_peak_dirty,2,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed03,A1_NoSeed,RC201,S2_peak_dirty,3,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed04,A1_NoSeed,RC201,S2_peak_dirty,4,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed05,A1_NoSeed,RC201,S2_peak_dirty,5,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed06,A1_NoSeed,RC201,S2_peak_dirty,6,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed07,A1_NoSeed,RC201,S2_peak_dirty,7,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed08,A1_NoSeed,RC201,S2_peak_dirty,8,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed09,A1_NoSeed,RC201,S2_peak_dirty,9,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed10,A1_NoSeed,RC201,S2_peak_dirty,10,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed11,A1_NoSeed,RC201,S2_peak_dirty,11,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed12,A1_NoSeed,RC201,S2_peak_dirty,12,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed13,A1_NoSeed,RC201,S2_peak_dirty,13,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed14,A1_NoSeed,RC201,S2_peak_dirty,14,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed15,A1_NoSeed,RC201,S2_peak_dirty,15,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed16,A1_NoSeed,RC201,S2_peak_dirty,16,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed17,A1_NoSeed,RC201,S2_peak_dirty,17,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed18,A1_NoSeed,RC201,S2_peak_dirty,18,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed19,A1_NoSeed,RC201,S2_peak_dirty,19,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S2_peak_dirty__A1_NoSeed__seed20,A1_NoSeed,RC201,S2_peak_dirty,20,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed01,A1_NoSeed,RC201,S3_mixed_fleet_arc,1,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed02,A1_NoSeed,RC201,S3_mixed_fleet_arc,2,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed03,A1_NoSeed,RC201,S3_mixed_fleet_arc,3,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed04,A1_NoSeed,RC201,S3_mixed_fleet_arc,4,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed05,A1_NoSeed,RC201,S3_mixed_fleet_arc,5,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed06,A1_NoSeed,RC201,S3_mixed_fleet_arc,6,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed07,A1_NoSeed,RC201,S3_mixed_fleet_arc,7,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed08,A1_NoSeed,RC201,S3_mixed_fleet_arc,8,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed09,A1_NoSeed,RC201,S3_mixed_fleet_arc,9,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed10,A1_NoSeed,RC201,S3_mixed_fleet_arc,10,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed11,A1_NoSeed,RC201,S3_mixed_fleet_arc,11,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed12,A1_NoSeed,RC201,S3_mixed_fleet_arc,12,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed13,A1_NoSeed,RC201,S3_mixed_fleet_arc,13,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed14,A1_NoSeed,RC201,S3_mixed_fleet_arc,14,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed15,A1_NoSeed,RC201,S3_mixed_fleet_arc,15,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed16,A1_NoSeed,RC201,S3_mixed_fleet_arc,16,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed17,A1_NoSeed,RC201,S3_mixed_fleet_arc,17,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed18,A1_NoSeed,RC201,S3_mixed_fleet_arc,18,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed19,A1_NoSeed,RC201,S3_mixed_fleet_arc,19,small,configs\batches\manifest_A1_NoSeed.csv
RC201__S3_mixed_fleet_arc__A1_NoSeed__seed20,A1_NoSeed,RC201,S3_mixed_fleet_arc,20,small,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed01,A1_NoSeed,C1_2_1,S1_balanced,1,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed02,A1_NoSeed,C1_2_1,S1_balanced,2,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed03,A1_NoSeed,C1_2_1,S1_balanced,3,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed04,A1_NoSeed,C1_2_1,S1_balanced,4,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed05,A1_NoSeed,C1_2_1,S1_balanced,5,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed06,A1_NoSeed,C1_2_1,S1_balanced,6,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed07,A1_NoSeed,C1_2_1,S1_balanced,7,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed08,A1_NoSeed,C1_2_1,S1_balanced,8,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed09,A1_NoSeed,C1_2_1,S1_balanced,9,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed10,A1_NoSeed,C1_2_1,S1_balanced,10,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed11,A1_NoSeed,C1_2_1,S1_balanced,11,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed12,A1_NoSeed,C1_2_1,S1_balanced,12,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed13,A1_NoSeed,C1_2_1,S1_balanced,13,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed14,A1_NoSeed,C1_2_1,S1_balanced,14,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed15,A1_NoSeed,C1_2_1,S1_balanced,15,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed16,A1_NoSeed,C1_2_1,S1_balanced,16,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed17,A1_NoSeed,C1_2_1,S1_balanced,17,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed18,A1_NoSeed,C1_2_1,S1_balanced,18,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed19,A1_NoSeed,C1_2_1,S1_balanced,19,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S1_balanced__A1_NoSeed__seed20,A1_NoSeed,C1_2_1,S1_balanced,20,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed01,A1_NoSeed,C1_2_1,S2_peak_dirty,1,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed02,A1_NoSeed,C1_2_1,S2_peak_dirty,2,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed03,A1_NoSeed,C1_2_1,S2_peak_dirty,3,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed04,A1_NoSeed,C1_2_1,S2_peak_dirty,4,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed05,A1_NoSeed,C1_2_1,S2_peak_dirty,5,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed06,A1_NoSeed,C1_2_1,S2_peak_dirty,6,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed07,A1_NoSeed,C1_2_1,S2_peak_dirty,7,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed08,A1_NoSeed,C1_2_1,S2_peak_dirty,8,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed09,A1_NoSeed,C1_2_1,S2_peak_dirty,9,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed10,A1_NoSeed,C1_2_1,S2_peak_dirty,10,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed11,A1_NoSeed,C1_2_1,S2_peak_dirty,11,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed12,A1_NoSeed,C1_2_1,S2_peak_dirty,12,medium,configs\batches\manifest_A1_NoSeed.csv
C1_2_1__S2_peak_dirty__A1_NoSeed__seed13,A1_NoSeed,C1_2_1,S2_peak_dirty,13,medium,configs\batches\manifest_A1_NoSeed.csv
